Id	Name	Longitude	Latitude	Depth	RecentDate	OldestDate	Archive	DataType	OriginalDataReference	OriginalDataDOI	DatabaseReference	DatabaseDOI
104	-	16.35	61	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
105	-	16.16	61.5	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
106	-	16.03	62	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
107	-	62.8	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2008.08.003	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
108	-	61	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2008.08.003	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
109	-	59.1	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2008.08.003	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
110	-	57	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2008.08.003	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
111	-	54.5	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2008.08.003	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
112	-	52.5	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2008.08.003	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
113	-	50	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2008.08.003	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
114	-	48.6	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2008.08.003	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
115	-	47.1	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2008.08.003	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
116	-	46	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2008.08.003	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
117	-	44.5	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2008.08.003	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
118	-	42	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2008.08.003	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
119	-	40.5	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.marchem.2008.08.003	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
