Id	Name	Longitude	Latitude	Depth	RecentDate	OldestDate	Archive	DataType	Reference	DOI
38	Jiuzhoutai	103.75	36.07	638.333	1.94	10.51	Terrestrial	MAR + Size	Kohfeld and Harrison, 2003	10.1016/S0277?3791(03)00166?510.1029/1998JD100077
39	Jingyuan	104.6	36.35	47.5	2.475	9.27	Terrestrial	MAR + Size	Sun et al., 2012	10.1038/NGEO132610.1029/1998JD100078
40	Beiguoyuan	107.28	36.62	178.333	3.62	7.38	Terrestrial	MAR + Size	Stevens and Lu, 2009	10.1111/j.1365-3091.2008.01004.x10.1029/1998JD100079
41	Xifeng	107.72	35.53	93.333	0.29	5.26	Terrestrial	MAR + Size	Stevens and Lu, 2009	10.1111/j.1365-3091.2008.01004.x10.1029/1998JD100080
42	Luochuan	109.42	35.75	141.429	1.69	11.71	Terrestrial	MAR	Lu et al., 2013	10.1130/G34488.110.1029/1998JD100081
43	Weinan	109.58	34.43	37.5	1.75	8.5	Terrestrial	MAR + Size	Kang et al., 2013	10.1029/1998JD100082
44	OWR	-101.42000000000002	40.5	230.5	0.0	8.425	Terrestrial	MAR + Size	Miao et al., 2007	10.1016/j.palaeo.2006.09.00410.1029/1998JD100083
45	LRC	-100.19	41.48	115.4	0.0	6.735	Terrestrial	MAR + Size	Miao et al., 2007	10.1016/j.palaeo.2006.09.00510.1029/1998JD100084
46	-	6	64.93	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/1998JD100085
47	-	5.96	64.86	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/1998JD100086
48	-	5.91	64.9	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/1998JD100087
49	-	6.93	64.99	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/1998JD100088
50	-	8.95	64.96	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/1998JD100089
51	-	10.03	64.74	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/1998JD100090
52	-	10.14	64.87	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/1998JD100091
53	-	11.18	64.95	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/1998JD100092
54	-	12.28	64.74	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/1998JD100093
55	-	14.01	64.76	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/1998JD100094
56	-	14.62	64.81	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/1998JD100095
57	-	14.53	64.46	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/1998JD100096
58	-	15.05	64.86	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/1998JD100097
59	-	16.72	64.95	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/1998JD100098
60	-	17.94	65	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/1998JD100099
61	-	17.73	64.51	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/1998JD100100
62	-	18.33	65.46	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/1998JD100101
63	-	16.11	68.21	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1016/j.marchem.2008.08.003
64	-	15.64	67.94	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1016/j.marchem.2008.08.004
65	-	15.44	67.2	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1016/j.marchem.2008.08.005
66	-	14.69	64.62	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1016/j.marchem.2008.08.006
67	-	15.89	62.19	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1016/j.marchem.2008.08.007
68	-	16.22	60.33	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1016/j.marchem.2008.08.008
69	-	16.22	60.07	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1016/j.marchem.2008.08.009
70	-	16.17	59.83	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1016/j.marchem.2008.08.010
71	-	17.49	59.76	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1016/j.marchem.2008.08.011
72	-	16.26	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.012
73	-	18	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.013
74	-	18.04	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.014
75	-	18.09	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.015
76	-	18.11	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.016
77	-	18.13	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.017
78	-	18.13	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.018
79	-	18.13	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.019
80	-	18.12	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.020
81	-	18.09	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.021
82	-	16.85	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.022
83	-	14.29	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.023
84	-	11.5	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.024
85	-	10	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.025
86	-	10.02	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.026
87	-	10.03	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.027
88	-	9.98	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.028
89	-	1.51	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.029
90	-	3.06	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.030
91	-	6.04	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.031
92	-	10	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.032
93	-	14.48	64.7	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.033
94	-	15.24	63.5	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.034
95	-	16.08	62	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.035
96	-	16.68	60.7	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.036
97	-	17.13	59.8	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.037
98	-	17.63	58.7	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.038
99	-	18.4	57.5	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.039
100	-	18.56	57.2	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.040
101	-	18.41	57.3	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.041
102	-	17.96	58.5	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.042
103	-	17.43	59.6	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.043
104	-	16.35	61	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.044
105	-	16.16	61.5	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.marchem.2008.08.045
106	-	16.03	62	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1016/j.gca.2012.04.022
107	-	62.8	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1016/j.gca.2012.04.023
108	-	61	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026557
109	-	59.1	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026558
110	-	57	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026559
111	-	54.5	-20	0	0	0	Iron from dust sample	Iron	Buck et al,2010	10.1029/2006GL026560
