"Age (ka BP)"	"Dust MAR (g/m2/a)"	"Age error (ka)"	"DMAR error (g/m2/a)"	"Depth top (cm)"	"Depth bottom (cm)"	"Depth center (cm)"	"Age top (ka BP)"	"Age bottom (ka BP)"	"Age center (ka BP)"	"SBMAR (g/m2/a)"	"SBMAR rel err"	"SDBD (g/cm3)"	"SDBD rel err"	"SR (cm/ka)"	"SR rel err"	"EC (fraction)"	"EC (ppm)"	"EC rel err"
10.34	0.00606	0.105	0.00121	159119	159330	159225	10.328	10.357	10.342	0.194	0.01	NA	NA	NA	NA	NA	0.031	0.2
10.37	0.00596	0.105	0.00119	159330	159572	159451	10.357	10.386	10.371	0.192	0.01	NA	NA	NA	NA	NA	0.031	0.2
10.4	0.00614	0.106	0.00123	159572	159797	159685	10.386	10.414	10.4	0.189	0.01	NA	NA	NA	NA	NA	0.032	0.2
10.43	0.00561	0.106	0.00112	159797	160004	159901	10.414	10.443	10.429	0.186	0.01	NA	NA	NA	NA	NA	0.03	0.2
10.46	0.00529	0.106	0.00106	160019	160209	160114	10.443	10.472	10.458	0.183	0.01	NA	NA	NA	NA	NA	0.029	0.2
10.49	0.00676	0.106	0.00135	160209	160413	160311	10.472	10.501	10.486	0.182	0.01	NA	NA	NA	NA	NA	0.037	0.2
10.52	0.00741	0.107	0.00148	160413	160616	160515	10.501	10.53	10.515	0.18	0.01	NA	NA	NA	NA	NA	0.041	0.2
10.54	0.00714	0.107	0.00143	160616	160833	160725	10.53	10.558	10.544	0.178	0.01	NA	NA	NA	NA	NA	0.04	0.2
10.57	0.00651	0.108	0.0013	160833	161033	160933	10.558	10.587	10.573	0.178	0.01	NA	NA	NA	NA	NA	0.037	0.2
10.6	0.0063	0.108	0.00126	161033	161247	161140	10.587	10.616	10.602	0.177	0.01	NA	NA	NA	NA	NA	0.036	0.2
10.63	0.00573	0.108	0.00115	161247	161430	161339	10.616	10.645	10.63	0.177	0.01	NA	NA	NA	NA	NA	0.032	0.2
10.66	0.00685	0.108	0.00137	161430	161641	161536	10.645	10.674	10.659	0.176	0.01	NA	NA	NA	NA	NA	0.039	0.2
10.69	0.0061	0.108	0.00122	161641	161851	161746	10.674	10.702	10.688	0.176	0.01	NA	NA	NA	NA	NA	0.035	0.2
10.72	0.00644	0.109	0.00129	161851	162044	161948	10.702	10.731	10.717	0.176	0.01	NA	NA	NA	NA	NA	0.037	0.2
10.75	0.00792	0.109	0.00159	162044	162237	162141	10.731	10.76	10.746	0.175	0.01	NA	NA	NA	NA	NA	0.045	0.2
10.77	0.00722	0.109	0.00145	162237	162457	162347	10.76	10.789	10.774	0.175	0.01	NA	NA	NA	NA	NA	0.041	0.2
10.8	0.00841	0.109	0.00169	162457	162661	162559	10.789	10.818	10.803	0.174	0.01	NA	NA	NA	NA	NA	0.048	0.2
10.83	0.00648	0.11	0.0013	162661	162849	162755	10.818	10.846	10.832	0.173	0.01	NA	NA	NA	NA	NA	0.037	0.2
10.86	0.00619	0.11	0.00124	162849	163051	162950	10.846	10.875	10.861	0.172	0.01	NA	NA	NA	NA	NA	0.036	0.2
